title,ingredients,directions,link,source,NER,cuisine,meal_type,diet,cook_minutes,servings
Paneer Tikka,"[""250 g paneer (cubed)"", ""80 g curd"", ""80 g capsicum (cubed)"", ""60 g onion (cubed)"", ""10 g besan"", ""3 g red chilli powder"", ""2 g garam masala"", ""10 g lemon (juice)"", ""8 g oil"", ""3 g salt""]","[""Mix curd, besan, spices, lemon juice, oil and salt into a marinade."", ""Coat paneer, capsicum and onion and rest for 20 minutes."", ""Thread onto skewers and grill or pan-roast until charred at the edges.""]",,NutriChef curated,"[""paneer"", ""curd"", ""capsicum"", ""onion"", ""besan"", ""red chilli powder"", ""garam masala"", ""lemon"", ""oil"", ""salt""]",north_indian,snack,vegetarian,40,2
Curd Rice,"[""100 g rice"", ""200 g curd"", ""50 ml milk"", ""2 g mustard seeds"", ""2 g curry leaves"", ""4 g green chilli"", ""5 g oil"", ""2 g salt""]","[""Cook rice until very soft and let it cool."", ""Mash lightly and mix with curd, milk and salt."", ""Temper mustard seeds, curry leaves and green chilli in oil and pour over the rice.""]",,NutriChef curated,"[""rice"", ""curd"", ""milk"", ""mustard seeds"", ""curry leaves"", ""green chilli"", ""oil"", ""salt""]",south_indian,lunch,vegetarian,25,2
Jeera Rice,"[""150 g basmati rice (rinsed)"", ""10 g ghee"", ""3 g cumin seeds"", ""300 ml water"", ""2 g salt""]","[""Heat ghee and fry cumin seeds until they crackle."", ""Add rice and stir for a minute."", ""Add water and salt, cover and cook until the water is absorbed.""]",,NutriChef curated,"[""basmati rice"", ""ghee"", ""cumin seeds"", ""water"", ""salt""]",north_indian,lunch,vegetarian,25,3
Vegetable Pulao,"[""150 g basmati rice (rinsed)"", ""60 g carrot (diced)"", ""60 g peas"", ""50 g beans (chopped)"", ""50 g onion (sliced)"", ""10 g ghee"", ""2 g garam masala"", ""300 ml water"", ""3 g salt""]","[""Heat ghee and fry onion until light brown."", ""Add vegetables and garam masala; stir 2 minutes."", ""Add rice, water and salt; cover and cook until done.""]",,NutriChef curated,"[""basmati rice"", ""carrot"", ""peas"", ""beans"", ""onion"", ""ghee"", ""garam masala"", ""water"", ""salt""]",north_indian,lunch,vegetarian,35,3
Aloo Gobi,"[""200 g potato (cubed)"", ""250 g cauliflower (florets)"", ""60 g onion (chopped)"", ""80 g tomato (chopped)"", ""15 g oil"", ""1 g turmeric"", ""2 g cumin seeds"", ""3 g salt""]","[""Heat oil and add cumin seeds, then onion."", ""Add potato and cauliflower with turmeric and salt."", ""Cover and cook on low heat until tender, stirring occasionally."", ""Add tomato and cook 5 more minutes.""]",,NutriChef curated,"[""potato"", ""cauliflower"", ""onion"", ""tomato"", ""oil"", ""turmeric"", ""cumin seeds"", ""salt""]",north_indian,lunch,vegan,30,3
Bhindi Masala,"[""250 g okra (sliced)"", ""80 g onion (sliced)"", ""60 g tomato (chopped)"", ""15 g oil"", ""2 g red chilli powder"", ""2 g coriander powder"", ""2 g salt""]","[""Heat oil and cook okra uncovered until no longer sticky; set aside."", ""Saute onion, then tomato and spices."", ""Add okra back with salt and cook 5 minutes.""]",,NutriChef curated,"[""okra"", ""onion"", ""tomato"", ""oil"", ""red chilli powder"", ""coriander powder"", ""salt""]",north_indian,dinner,vegan,30,2
Baingan Bharta,"[""400 g brinjal (1 large)"", ""80 g onion (chopped)"", ""100 g tomato (chopped)"", ""6 g garlic (minced)"", ""10 g oil"", ""2 g salt""]","[""Roast brinjal over a flame until the skin chars and the flesh is soft."", ""Peel and mash the flesh."", ""Saute garlic and onion in oil, add tomato and cook until soft."", ""Add mashed brinjal and salt; cook 5 minutes.""]",,NutriChef curated,"[""brinjal"", ""onion"", ""tomato"", ""garlic"", ""oil"", ""salt""]",north_indian,dinner,vegan,40,3
Masoor Dal,"[""100 g masoor dal (rinsed)"", ""450 ml water"", ""50 g onion (chopped)"", ""60 g tomato (chopped)"", ""5 g garlic"", ""8 g oil"", ""1 g turmeric"", ""3 g salt""]","[""Simmer dal with water and turmeric until soft."", ""Saute garlic, onion and tomato in oil."", ""Combine with the dal, add salt and simmer 5 minutes.""]",,NutriChef curated,"[""masoor dal"", ""water"", ""onion"", ""tomato"", ""garlic"", ""oil"", ""turmeric"", ""salt""]",north_indian,dinner,vegan,25,3
Moong Sprouts Salad,"[""150 g moong sprouts"", ""40 g onion (chopped)"", ""50 g tomato (chopped)"", ""60 g cucumber (chopped)"", ""10 g lemon (juice)"", ""1 g salt""]","[""Steam sprouts for 3-4 minutes if you prefer them softer."", ""Toss all ingredients together and serve immediately.""]",,NutriChef curated,"[""moong sprouts"", ""onion"", ""tomato"", ""cucumber"", ""lemon"", ""salt""]",north_indian,snack,vegan,10,2
Chapati,"[""150 g atta"", ""90 ml water"", ""5 g oil"", ""1 g salt""]","[""Knead atta, salt, oil and water into a soft dough; rest 15 minutes."", ""Divide into 6 balls and roll into thin circles."", ""Cook on a hot tawa, flipping, until puffed with light brown spots.""]",,NutriChef curated,"[""atta"", ""water"", ""oil"", ""salt""]",north_indian,dinner,vegan,30,3
Cucumber Raita,"[""250 g curd"", ""80 g cucumber (grated)"", ""30 g onion (finely chopped)"", ""1 g cumin powder (roasted)"", ""1 g salt""]","[""Whisk curd until smooth."", ""Stir in cucumber, onion, cumin powder and salt."", ""Chill before serving.""]",,NutriChef curated,"[""curd"", ""cucumber"", ""onion"", ""cumin powder"", ""salt""]",north_indian,snack,vegetarian,10,3
Paneer Paratha,"[""150 g atta"", ""120 g paneer (grated)"", ""30 g onion (finely chopped)"", ""4 g green chilli"", ""15 g ghee"", ""2 g salt"", ""90 ml water""]","[""Knead atta with water and a pinch of salt; rest 15 minutes."", ""Mix paneer, onion, green chilli and salt for the filling."", ""Stuff dough balls with filling and roll out gently."", ""Cook on a tawa with ghee until golden on both sides.""]",,NutriChef curated,"[""atta"", ""paneer"", ""onion"", ""green chilli"", ""ghee"", ""salt"", ""water""]",north_indian,breakfast,vegetarian,40,3
Masala Omelette,"[""150 g eggs (3 large)"", ""40 g onion (chopped)"", ""40 g tomato (chopped)"", ""3 g green chilli"", ""3 g coriander leaves"", ""8 g oil"", ""1 g salt""]","[""Beat eggs with salt and the chopped vegetables."", ""Pour into a hot oiled pan and cook until set."", ""Fold and serve.""]",,NutriChef curated,"[""eggs"", ""onion"", ""tomato"", ""green chilli"", ""coriander leaves"", ""oil"", ""salt""]",north_indian,breakfast,eggetarian,10,1
Soya Chunks Curry,"[""80 g soya chunks"", ""80 g onion (chopped)"", ""100 g tomato (pureed)"", ""12 g oil"", ""2 g garam masala"", ""2 g salt""]","[""Boil soya chunks for 5 minutes, drain and squeeze out the water."", ""Saute onion in oil, add tomato puree and garam masala."", ""Add soya chunks, salt and a little water; simmer 10 minutes.""]",,NutriChef curated,"[""soya chunks"", ""onion"", ""tomato"", ""oil"", ""garam masala"", ""salt""]",north_indian,dinner,vegan,30,2
Tofu Bhurji,"[""200 g tofu (crumbled)"", ""60 g onion (chopped)"", ""60 g tomato (chopped)"", ""4 g green chilli"", ""8 g oil"", ""1 g turmeric"", ""2 g salt""]","[""Saute onion and green chilli in oil."", ""Add tomato, turmeric and salt; cook 2 minutes."", ""Add tofu and cook 4-5 minutes, stirring.""]",,NutriChef curated,"[""tofu"", ""onion"", ""tomato"", ""green chilli"", ""oil"", ""turmeric"", ""salt""]",fusion,breakfast,vegan,15,2
Banana Oats Smoothie,"[""40 g oats"", ""120 g banana (1 medium)"", ""250 ml milk"", ""10 g almonds""]","[""Blend all ingredients until smooth."", ""Serve immediately.""]",,NutriChef curated,"[""oats"", ""banana"", ""milk"", ""almonds""]",fusion,breakfast,vegetarian,5,1
Vegetable Sambar,"[""80 g toor dal"", ""50 g carrot (chopped)"", ""60 g brinjal (chopped)"", ""50 g onion (chopped)"", ""60 g tomato (chopped)"", ""10 g tamarind (pulp)"", ""8 g sambar powder"", ""8 g oil"", ""2 g mustard seeds"", ""2 g curry leaves"", ""3 g salt"", ""600 ml water""]","[""Pressure-cook dal until soft and mash."", ""Boil vegetables with tamarind, sambar powder, salt and water until tender."", ""Add dal and simmer 5 minutes."", ""Temper mustard seeds and curry leaves in oil and pour over.""]",,NutriChef curated,"[""toor dal"", ""carrot"", ""brinjal"", ""onion"", ""tomato"", ""tamarind"", ""sambar powder"", ""oil"", ""mustard seeds"", ""curry leaves"", ""salt"", ""water""]",south_indian,lunch,vegan,45,3
Mushroom Matar,"[""200 g mushroom (sliced)"", ""100 g peas"", ""80 g onion (chopped)"", ""100 g tomato (pureed)"", ""12 g oil"", ""2 g garam masala"", ""2 g salt""]","[""Saute onion in oil until golden."", ""Add tomato puree and garam masala; cook until thick."", ""Add mushroom and peas with salt; cook 8-10 minutes.""]",,NutriChef curated,"[""mushroom"", ""peas"", ""onion"", ""tomato"", ""oil"", ""garam masala"", ""salt""]",north_indian,dinner,vegan,30,2
Paneer Bhurji Toast,"[""120 g paneer (crumbled)"", ""60 g bread"", ""40 g onion (finely chopped)"", ""50 g tomato (chopped)"", ""5 g green chilli (chopped)"", ""8 g oil"", ""1 g turmeric"", ""2 g salt"", ""5 g coriander leaves (chopped)""]","[""Heat oil and saute onion and green chilli until soft."", ""Add tomato and turmeric; cook 2 minutes until it softens."", ""Stir in crumbled paneer and salt; cook 3 minutes."", ""Toast the bread and serve the bhurji on top with coriander leaves.""]",,NutriChef curated,"[""paneer"", ""bread"", ""onion"", ""tomato"", ""green chilli"", ""oil"", ""turmeric"", ""salt"", ""coriander leaves""]",north_indian,breakfast,vegetarian,15,1
Moong Dal Paneer Chilla,"[""140 g moong dal (soaked 3 hours)"", ""120 g paneer (crumbled)"", ""40 g onion (finely chopped)"", ""5 g ginger (grated)"", ""4 g green chilli (chopped)"", ""10 g oil"", ""2 g salt"", ""5 g coriander leaves (chopped)""]","[""Drain the soaked dal and grind with ginger, green chilli and a little water to a batter."", ""Stir in salt, onion and coriander leaves."", ""Pour a ladle onto a hot non-stick pan and spread into a thin circle."", ""Scatter crumbled paneer over one half, drizzle oil and cook 2-3 minutes per side."", ""Fold and serve hot with chutney.""]",,NutriChef curated,"[""moong dal"", ""paneer"", ""onion"", ""ginger"", ""green chilli"", ""oil"", ""salt"", ""coriander leaves""]",north_indian,breakfast,vegetarian,25,2
Greek Yogurt Almond Bowl,"[""200 g greek yogurt"", ""20 g almonds (chopped)"", ""20 g oats"", ""80 g banana (sliced)"", ""10 g honey""]","[""Spoon the yogurt into a bowl."", ""Top with oats, banana and almonds."", ""Drizzle honey over the top and serve cold.""]",,NutriChef curated,"[""greek yogurt"", ""almonds"", ""oats"", ""banana"", ""honey""]",indian,breakfast,vegetarian,5,1
Masala Tofu Scramble,"[""150 g tofu (crumbled)"", ""40 g onion (chopped)"", ""40 g tomato (chopped)"", ""40 g capsicum (chopped)"", ""8 g oil"", ""1 g turmeric"", ""2 g salt"", ""5 g coriander leaves (chopped)""]","[""Press the tofu for 10 minutes to remove water, then crumble it."", ""Heat oil and saute onion and capsicum until soft."", ""Add tomato, turmeric and salt; cook 2 minutes."", ""Stir in the tofu and cook 4 minutes, then finish with coriander leaves.""]",,NutriChef curated,"[""tofu"", ""onion"", ""tomato"", ""capsicum"", ""oil"", ""turmeric"", ""salt"", ""coriander leaves""]",indian,breakfast,vegetarian,15,1
Peanut Butter Banana Oats,"[""50 g oats"", ""250 ml milk"", ""30 g peanut butter"", ""80 g banana (sliced)"", ""10 g flaxseed""]","[""Simmer the oats in milk for 5 minutes, stirring."", ""Take off the heat and stir in the peanut butter until smooth."", ""Top with banana and flaxseed and serve warm.""]",,NutriChef curated,"[""oats"", ""milk"", ""peanut butter"", ""banana"", ""flaxseed""]",indian,breakfast,vegetarian,10,1
Soya Peanut Upma,"[""80 g soya chunks"", ""60 g suji"", ""30 g peanuts"", ""60 g onion (chopped)"", ""40 g carrot (chopped)"", ""10 g oil"", ""3 g mustard seeds"", ""5 g curry leaves"", ""2 g salt""]","[""Soak the soya chunks in hot water for 10 minutes, squeeze dry and chop."", ""Dry roast the suji until it smells nutty and set aside."", ""Heat oil, crackle mustard seeds, add curry leaves, peanuts, onion and carrot."", ""Add the soya chunks, 400 ml water and salt; bring to a boil."", ""Stir in the suji slowly, cover and cook 5 minutes on low heat.""]",,NutriChef curated,"[""soya chunks"", ""suji"", ""peanuts"", ""onion"", ""carrot"", ""oil"", ""mustard seeds"", ""curry leaves"", ""salt""]",south_indian,breakfast,vegetarian,25,2
Dahi Chana Bowl,"[""200 g greek yogurt"", ""60 g chickpeas (dried, soaked overnight and boiled)"", ""40 g cucumber (chopped)"", ""40 g tomato (chopped)"", ""10 g lemon (juice)"", ""1 g cumin"", ""1 g salt""]","[""Whisk the yogurt smooth with salt and roasted cumin."", ""Fold in the boiled chickpeas, cucumber and tomato."", ""Finish with lemon juice and serve cold.""]",,NutriChef curated,"[""greek yogurt"", ""chickpeas"", ""cucumber"", ""tomato"", ""lemon"", ""cumin"", ""salt""]",north_indian,breakfast,vegetarian,20,1
Egg Paneer Bhurji,"[""150 g egg (about 3, beaten)"", ""60 g paneer (crumbled)"", ""40 g onion (chopped)"", ""40 g tomato (chopped)"", ""8 g oil"", ""2 g salt"", ""5 g coriander leaves (chopped)""]","[""Heat oil and saute onion until golden."", ""Add tomato and salt; cook until soft."", ""Pour in the beaten egg and stir constantly until just set."", ""Fold in the paneer, cook 1 minute and finish with coriander leaves.""]",,NutriChef curated,"[""egg"", ""paneer"", ""onion"", ""tomato"", ""oil"", ""salt"", ""coriander leaves""]",north_indian,breakfast,eggetarian,15,1
Palak Tofu,"[""250 g tofu (cubed)"", ""300 g spinach (blanched)"", ""60 g onion (chopped)"", ""60 g tomato (chopped)"", ""8 g garlic (minced)"", ""5 g ginger (grated)"", ""12 g oil"", ""2 g garam masala"", ""3 g salt""]","[""Blanch the spinach for 2 minutes, cool and blend to a puree."", ""Heat oil and saute onion, garlic and ginger until golden."", ""Add tomato and cook until it breaks down."", ""Stir in the spinach puree, garam masala and salt; simmer 5 minutes."", ""Add the tofu cubes and simmer 5 minutes more.""]",,NutriChef curated,"[""tofu"", ""spinach"", ""onion"", ""tomato"", ""garlic"", ""ginger"", ""oil"", ""garam masala"", ""salt""]",north_indian,dinner,vegetarian,25,2
Rajma Chawal,"[""180 g rajma (dried, soaked 8 hours)"", ""150 g rice"", ""80 g onion (chopped)"", ""120 g tomato (pureed)"", ""8 g ginger (grated)"", ""8 g garlic (minced)"", ""15 g oil"", ""3 g garam masala"", ""3 g salt""]","[""Pressure cook the soaked rajma with salt until soft, about 25 minutes."", ""Cook the rice separately."", ""Heat oil and fry onion, ginger and garlic until golden."", ""Add the tomato puree and garam masala; cook until the oil separates."", ""Add the cooked rajma with its water and simmer 10 minutes. Serve over rice.""]",,NutriChef curated,"[""rajma"", ""rice"", ""onion"", ""tomato"", ""ginger"", ""garlic"", ""oil"", ""garam masala"", ""salt""]",north_indian,lunch,vegetarian,45,2
Soya Chunks Pulao,"[""100 g soya chunks"", ""150 g basmati rice"", ""80 g onion (sliced)"", ""60 g peas"", ""60 g carrot (diced)"", ""15 g oil"", ""2 g garam masala"", ""3 g salt""]","[""Soak the soya chunks in hot water for 10 minutes and squeeze dry."", ""Heat oil and fry the onion until golden."", ""Add carrot, peas, soya chunks, garam masala and salt; cook 3 minutes."", ""Stir in the rinsed rice and 300 ml water."", ""Cover and cook on low heat 15 minutes, then rest 5 minutes before serving.""]",,NutriChef curated,"[""soya chunks"", ""basmati rice"", ""onion"", ""peas"", ""carrot"", ""oil"", ""garam masala"", ""salt""]",north_indian,lunch,vegetarian,30,2
Paneer Tikka Masala,"[""250 g paneer (cubed)"", ""100 g curd"", ""120 g tomato (pureed)"", ""80 g onion (chopped)"", ""8 g ginger (grated)"", ""8 g garlic (minced)"", ""15 g oil"", ""3 g garam masala"", ""2 g red chilli powder"", ""3 g salt""]","[""Marinate the paneer in curd, half the garam masala and the chilli powder for 15 minutes."", ""Sear the paneer in a hot pan until lightly charred and set aside."", ""Heat oil and fry onion, ginger and garlic until golden."", ""Add the tomato puree, remaining garam masala and salt; cook until the oil separates."", ""Return the paneer to the pan and simmer 5 minutes.""]",,NutriChef curated,"[""paneer"", ""curd"", ""tomato"", ""onion"", ""ginger"", ""garlic"", ""oil"", ""garam masala"", ""red chilli powder"", ""salt""]",north_indian,dinner,vegetarian,35,2
Moong Dal Khichdi With Paneer,"[""100 g moong dal (rinsed)"", ""100 g rice"", ""100 g paneer (cubed)"", ""500 ml water"", ""10 g ghee"", ""1 g turmeric"", ""2 g cumin"", ""3 g salt""]","[""Heat ghee and crackle the cumin."", ""Add the rinsed dal and rice with turmeric and salt; stir for a minute."", ""Pour in the water, cover and cook 20 minutes until soft."", ""Fold in the paneer cubes and rest 5 minutes before serving.""]",,NutriChef curated,"[""moong dal"", ""rice"", ""paneer"", ""water"", ""ghee"", ""turmeric"", ""cumin"", ""salt""]",north_indian,dinner,vegetarian,30,2
Chole,"[""200 g chickpeas (dried, soaked overnight)"", ""80 g onion (chopped)"", ""120 g tomato (pureed)"", ""8 g ginger (grated)"", ""8 g garlic (minced)"", ""15 g oil"", ""3 g garam masala"", ""2 g coriander powder"", ""3 g salt""]","[""Pressure cook the soaked chickpeas with salt until tender, about 25 minutes."", ""Heat oil and fry onion, ginger and garlic until deep golden."", ""Add the tomato puree, garam masala and coriander powder; cook until the oil separates."", ""Add the chickpeas with some of their water and simmer 15 minutes, mashing a few to thicken.""]",,NutriChef curated,"[""chickpeas"", ""onion"", ""tomato"", ""ginger"", ""garlic"", ""oil"", ""garam masala"", ""coriander powder"", ""salt""]",punjabi,lunch,vegetarian,50,2
Masoor Dal With Soya,"[""120 g masoor dal (rinsed)"", ""40 g soya chunks"", ""500 ml water"", ""60 g onion (chopped)"", ""80 g tomato (chopped)"", ""8 g garlic (chopped)"", ""10 g oil"", ""1 g turmeric"", ""3 g salt""]","[""Soak the soya chunks in hot water 10 minutes, squeeze dry and chop small."", ""Boil the dal with water, turmeric and salt until soft, about 20 minutes."", ""Heat oil and fry garlic and onion until golden, then add tomato and cook down."", ""Stir the tempering and the soya chunks into the dal and simmer 5 minutes.""]",,NutriChef curated,"[""masoor dal"", ""soya chunks"", ""water"", ""onion"", ""tomato"", ""garlic"", ""oil"", ""turmeric"", ""salt""]",north_indian,dinner,vegetarian,30,2
Tofu Chilli,"[""250 g tofu (cubed)"", ""100 g capsicum (cubed)"", ""80 g onion (cubed)"", ""15 g soy sauce"", ""8 g garlic (minced)"", ""5 g ginger (grated)"", ""12 g oil"", ""10 g spring onion (chopped)"", ""2 g salt""]","[""Press the tofu 10 minutes, cube it and pan fry in half the oil until golden. Set aside."", ""Heat the rest of the oil and stir fry garlic, ginger, onion and capsicum on high heat."", ""Add soy sauce and salt, then return the tofu and toss for 2 minutes."", ""Finish with spring onion and serve hot.""]",,NutriChef curated,"[""tofu"", ""capsicum"", ""onion"", ""soy sauce"", ""garlic"", ""ginger"", ""oil"", ""spring onion"", ""salt""]",indian,dinner,vegetarian,25,2
Paneer Tikka Skewers,"[""120 g paneer (cubed)"", ""50 g curd"", ""40 g capsicum (cubed)"", ""30 g onion (cubed)"", ""5 g oil"", ""2 g garam masala"", ""1 g salt""]","[""Mix the curd with garam masala and salt and marinate the paneer 15 minutes."", ""Thread paneer, capsicum and onion onto skewers."", ""Grill or pan fry with oil until charred on all sides, about 8 minutes.""]",,NutriChef curated,"[""paneer"", ""curd"", ""capsicum"", ""onion"", ""oil"", ""garam masala"", ""salt""]",north_indian,snack,vegetarian,20,1
Roasted Chana Peanut Mix,"[""60 g chickpeas (roasted)"", ""40 g peanuts (roasted)"", ""1 g red chilli powder"", ""1 g salt""]","[""Warm the roasted chana and peanuts in a dry pan for 2 minutes."", ""Toss with chilli powder and salt and cool before eating.""]",,NutriChef curated,"[""chickpeas"", ""peanuts"", ""red chilli powder"", ""salt""]",indian,snack,vegetarian,5,1
Sprouts Chaat,"[""200 g moong sprouts (steamed)"", ""40 g onion (chopped)"", ""40 g tomato (chopped)"", ""10 g lemon (juice)"", ""1 g cumin"", ""1 g salt"", ""5 g coriander leaves (chopped)""]","[""Steam the sprouts for 5 minutes and cool."", ""Toss with onion, tomato, roasted cumin and salt."", ""Finish with lemon juice and coriander leaves.""]",,NutriChef curated,"[""moong sprouts"", ""onion"", ""tomato"", ""lemon"", ""cumin"", ""salt"", ""coriander leaves""]",maharashtrian,snack,vegetarian,10,1
